Latitude,Longitude,N_850,Nol_850,Ce_850,R2_850,QA_850
-31.5,123.5,71,1,0.00169,0.657,0
-31.5,124.5,16,0,0.00192,0.132,0
-31.5,125.5,0,0,0.00238,-9999,0
-31.5,126.5,0,0,0.00285,-9999,0
-31.5,127.5,0,0,0.00287,-9999,0
-31.5,128.5,0,0,0.00312,-9999,0
-31.5,129.5,10,0,0.00252,0.144,0
-31.5,130.5,10,0,0.00104,0.396,0
-31.5,131.5,0,0,0.0033,-9999,0
-31.5,132.5,10,0,0.00343,0.712,0
-31.5,133.5,18,0,0.00265,0.534,0
-31.5,134.5,0,0,0.0146,-9999,0
-31.5,135.5,0,0,0.0168,-9999,0
-31.5,137.5,0,0,0.0225,-9999,0
-31.5,138.5,0,0,0.02,-9999,0
-31.5,140.5,0,0,0.0103,-9999,0
-31.5,141.5,0,0,0.0161,-9999,0
-31.5,142.5,0,0,0.016,-9999,0
-31.5,143.5,0,0,0.0142,-9999,0
-31.5,144.5,0,0,0.0156,-9999,0
-31.5,145.5,21,0,0.0125,0.0333,0
-31.5,146.5,142,0,0.00476,0.0665,0
-31.5,147.5,19,0,0.00934,0.266,1
-31.5,148.5,38,0,0.00579,0.213,2
-31.5,149.5,9,0,0.0142,0.499,3
-31.5,150.5,11,0,0.00528,0.446,3
-31.5,151.5,30,0,0.00831,0.29,3
-31.5,152.5,42,1,0.0369,0.92,4
-31.5,153.5,0,0,0.0184,-9999,0
-31.5,159.5,0,0,0.0246,-9999,0
-30.5,-71.5,24,0,0.0106,0.132,1
